schema_version,source_id,name,display_name,category,primary_muscles,secondary_muscles,equipment,featured,minimum_level,progression_group,progression_level,license,license_url,author,source_url
1,20,Arnold Shoulder Press,Arnold Shoulder Press,Shoulders,Shoulders,Trapezius|Triceps,Dumbbell,false,intermediate,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,trzr23,https://wger.de/en/exercise/20/view
1,1737,Assisted chin-ups,Assisted chin-ups,Back,Biceps|Lats,Brachialis|Trapezius,,false,beginner,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,wger contributors,https://wger.de/en/exercise/1737/view
1,1801,Barbell Full Squat,Barbell Full Squat,Legs,Glutes|Hamstrings|Quads,Abs|Calves,Barbell,false,advanced,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,fabrice,https://wger.de/en/exercise/1801/view
1,73,Bench Press,Bench Press,Chest,Chest,Shoulders|Triceps,Barbell|Bench,true,intermediate,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,sistab2,https://wger.de/en/exercise/73/view
1,75,Benchpress Dumbbells,Dumbbell Bench Press,Chest,Chest,Shoulders|Triceps,Bench|Dumbbell,false,intermediate,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/75/view
1,81,Bent Over Dumbbell Rows,Bent Over Dumbbell Rows,Back,Lats,,Bench|Dumbbell,false,intermediate,pull,intermediate,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,sebk,https://wger.de/en/exercise/81/view
1,83,Bent Over Rowing,Barbell Bent-Over Row,Back,Lats,Biceps|Shoulders,Barbell,false,intermediate,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/83/view
1,91,Biceps Curls With Barbell,Biceps Curls With Barbell,Arms,Biceps,Brachialis,Barbell,false,beginner,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/91/view
1,92,Biceps Curls With Dumbbell,Biceps Curls With Dumbbell,Arms,Biceps,Brachialis,Dumbbell,false,beginner,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/92/view
1,1412,bicycle crunches,Bicycle Crunches,Abs,Abs,Obliquus externus abdominis,none (bodyweight exercise),false,intermediate,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,hpmbala@gmail.com,https://wger.de/en/exercise/1412/view
1,1572,Bird Dog,Bird Dog,Abs,Abs,Glutes|Shoulders,none (bodyweight exercise),false,beginner,core,beginner,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,Settebello,https://wger.de/en/exercise/1572/view
1,1312,Bodyweight Squat HD,Bodyweight Squat,Legs,Quads,Abs|Calves|Glutes|Obliquus externus abdominis|Soleus,none (bodyweight exercise),false,beginner,squat,beginner,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,hektkaso,https://wger.de/en/exercise/1312/view
1,1706,Bulgarian Squat with Dumbbells,Bulgarian Squat with Dumbbells,Legs,Glutes|Quads,Hamstrings,Dumbbell,false,advanced,squat,advanced,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,AlucardEvil40,https://wger.de/en/exercise/1706/view
1,132,Burpees,Burpees,Chest,,,,true,intermediate,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,er0355,https://wger.de/en/exercise/132/view
1,822,Cable Rear Delt Fly,Cable Rear Delt Fly,Shoulders,Shoulders|Trapezius,Triceps,Cable machine,false,beginner,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,cshep442,https://wger.de/en/exercise/822/view
1,129,Chest Press,Chest Press,Chest,Chest,,,false,beginner,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/129/view
1,167,Crunches,Crunches,Abs,Abs,Serratus anterior,Gym mat,false,beginner,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/167/view
1,1204,Cycling cardio session,Cycling cardio session,Cardio,,,,false,beginner,,,CC-BY-SA 4,https://creativecommons.org/licenses/by-sa/4.0/deed.en,wger contributors,https://wger.de/en/exercise/1204/view
1,184,Deadlifts,Deadlifts,Back,Lats,Glutes,Barbell,false,advanced,hinge,advanced,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/184/view
1,197,Dips Between Two Benches,Dips Between Two Benches,Arms,Triceps,,Bench,false,advanced,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/197/view
1,211,Dumbbell Triceps Extension,Dumbbell Triceps Extension,Arms,Triceps,Chest|Shoulders,Dumbbell,false,beginner,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,tuninx,https://wger.de/en/exercise/211/view
1,238,Fly With Dumbbells,Fly With Dumbbells,Chest,Chest,,Dumbbell,false,intermediate,,,CC-BY-SA 3,https://creativecommons.org/licenses/by-sa/3.0/deed.en,wger.de,https://wger.de/en/exercise/238/view
